CaseID,FilingDate,CrimeType,Location,Description,PriorityLabel
CR-2021-10000,2024-08-24,Theft,Central Park,Victim reported wallet stolen from sidewalk. No witnesses present.,0
CR-2022-10001,2022-08-16,Theft,Downtown,Suspect took victim's phone when victim was not looking at public restroom.,0
CR-2022-10002,2024-09-04,Vandalism,Downtown,Business storefront windows broken with rocks. Surveillance camera captured incident.,0
CR-2019-10003,2023-03-26,Harassment,North District,Suspect repeatedly made unwanted contact with victim at their workplace.,0
CR-2021-10004,2023-01-18,Fraud,East District,Victim was deceived into transferring $500 to fraudulent investment scheme.,0
CR-2022-10005,2024-05-03,Theft,East District,Victim's jewelry was taken while they were working. No suspects identified.,0
CR-2019-10006,2024-03-16,Burglary,South District,Suspect broke into residence via balcony door and took electronics and jewelry. No witnesses.,0
CR-2020-10007,2024-07-26,Assault,Industrial Area,Victim sustained black eye after altercation with suspect at public restroom.,1
CR-2022-10008,2024-08-04,Theft,University Campus,Unknown suspect stole vehicle from victim's sidewalk. No surveillance footage available.,0
CR-2021-10009,2022-04-30,Robbery,North District,"Bank robbery involving suspect with knife, escaped with undisclosed amount.",0
CR-2022-10010,2024-09-30,Drug Offense,South District,Suspect observed selling hallucinogens near park bench.,0
CR-2021-10011,2023-09-07,Harassment,Downtown,Victim reported ongoing harassment by neighbor including noise disturbances.,0
CR-2018-10012,2025-02-05,Assault,North District,Physical altercation between victim and known suspect resulted in minor cuts and bruises.,1
CR-2021-10013,2024-03-19,Harassment,South District,Victim received 15 threatening messages from known suspect over 3 months.,0
CR-2019-10014,2025-01-06,Fraud,Shopping Mall,"Suspect used victim's identity to open utility accounts, causing financial damage of $10000.",1
CR-2021-10015,2025-01-27,Other,Industrial Area,Noise complaint escalated requiring police intervention at residential property.,0
CR-2022-10016,2023-03-20,Fraud,East District,Victim reported unauthorized transactions totaling $100000 on their credit card.,0
CR-2018-10017,2024-05-19,Fraud,North District,"Suspect used victim's identity to open investment accounts, causing financial damage of $2500.",0
CR-2022-10018,2022-05-01,Theft,Downtown,Victim's bicycle was taken while they were walking. No suspects identified.,0
CR-2018-10019,2024-01-24,Theft,Central Park,Unknown suspect stole wallet from victim's bus stop. No surveillance footage available.,0
CR-2018-10020,2023-05-13,Vandalism,Central Park,"Public trash bins was destroyed, causing $648 in damages. No witnesses.",0
CR-2022-10021,2022-12-03,Drug Offense,Shopping Mall,Search warrant execution revealed heroin and paraphernalia in suspect's residence.,0
CR-2018-10022,2024-06-04,Burglary,Downtown,Suspect broke into residence via side entrance and took cash and electronics. No witnesses.,1
CR-2022-10023,2022-07-24,Fraud,North District,"Suspect used victim's identity to open mobile phone accounts, causing financial damage of $50000.",0
CR-2020-10024,2024-12-02,Burglary,University Campus,Business broken into overnight. skylight showed signs of forced entry. personal documents and valuables reported missing.,1
CR-2020-10025,2025-02-08,Fraud,Central Park,"Suspect used victim's identity to open investment accounts, causing financial damage of $2500.",1
